@relation ant-1.9.2-weka.filters.unsupervised.attribute.Remove-R10-61-weka.filters.unsupervised.attribute.Remove-R1

@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute label {0,1}

@data
1,1,1,1,14,1,6,7,0
0,0,0,0,0,0,0,0,0
1,1,1,1,11,0,4,6,0
1,1,1,1,12,0,5,6,0
1,1,1,1,14,1,6,7,0
1,1,1,1,7,0,4,3,0
2,2,3,1,19,1,12,6,0
2,2,2,1,18,0,12,5,0
2,2,2,1,15,0,10,4,0
0,0,0,0,0,0,0,0,0
3,3,3,2,23,0,9,14,0
4,4,4,2,31,1,22,7,0
2,2,2,1,14,0,8,5,0
1,1,1,1,6,0,4,2,0
1,1,2,1,11,0,6,4,1
2,2,2,1,13,0,8,4,0
1,1,2,1,12,0,6,5,0
2,2,2,1,14,0,7,6,0
1,1,2,1,12,0,6,5,0
2,2,2,1,12,0,6,6,1
1,1,2,1,11,0,6,5,0
1,1,1,1,8,0,4,4,0
0,0,0,0,0,0,0,0,0
1,1,1,1,12,0,5,6,0
3,3,3,1,16,0,12,3,0
1,1,1,1,10,0,5,4,0
1,1,1,1,11,0,6,5,0
1,1,1,1,8,0,4,4,0
1,1,1,1,11,0,5,5,0
1,1,1,1,9,0,4,4,0
2,2,2,1,12,0,7,5,0
2,2,2,1,13,0,8,5,0
1,1,1,1,9,0,4,4,0
1,1,1,1,7,0,3,4,0
1,1,1,1,7,0,4,2,0
2,2,2,1,13,0,9,4,0
1,1,1,1,8,0,3,5,0
0,0,0,0,0,0,0,0,0
2,2,2,1,14,0,8,5,0
2,2,2,1,12,0,7,4,0
2,2,2,1,13,0,8,4,0
2,2,2,1,12,0,8,4,0
1,1,1,1,5,0,2,2,0
3,3,4,1,17,0,12,5,0
1,1,1,1,10,0,4,6,1
1,1,1,1,9,0,5,3,0
1,1,2,1,11,0,5,5,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,6,0,3,3,0
1,1,1,1,8,0,3,4,0
1,1,1,1,9,0,5,4,0
7,7,7,1,52,2,33,17,0
1,1,1,1,10,0,4,5,0
3,3,3,1,28,2,16,9,0
1,1,1,1,10,0,6,4,0
8,8,8,1,61,2,42,17,0
2,2,2,1,9,0,6,3,0
2,2,2,2,16,0,11,5,0
1,1,1,1,8,0,3,5,0
1,1,1,1,10,0,3,6,0
1,1,1,1,9,0,3,5,0
